,ac_number,constituency,region,reserved,winner_party_2021,winner_share_2021,margin_pct_2021,winner_party_2026,winner_share_2026,margin_pct_2026,total_votes,num_candidates,flipped,share_delta,margin_delta
76,77,Ulundurpet,Central,GEN,DMK,47.15,2.15,DMK,36.34,0.84,271002,15,False,-10.81,-1.31
77,78,Rishivandiam,Central,GEN,DMK,52.96,19.4,DMK,36.65,1.99,244795,26,False,-16.31,-17.41
78,79,Sankarapuram,Central,GEN,DMK,56.16,21.3,AIADMK,34.07,1.46,235528,23,True,-22.09,-19.84
79,80,Kallakurichi,Central,SC,AIADMK,48.99,11.46,TVK,32.5,0.32,249626,12,True,-16.49,-11.14
80,81,Gangavalli,Central,SC,AIADMK,48.02,3.95,AIADMK,37.2,7.32,196679,14,False,-10.82,3.37
81,82,Attur,Central,SC,AIADMK,47.72,4.13,AIADMK,38.81,7.35,208296,16,False,-8.91,3.22
82,83,Yercaud,Central,ST,AIADMK,50.88,10.86,AIADMK,34.61,0.86,253592,14,False,-16.27,-10.0
83,84,Omalur,Central,GEN,AIADMK,57.22,22.2,AIADMK,41.4,5.36,271119,16,False,-15.82,-16.84
84,85,Mettur,Central,GEN,PMK,44.43,0.3,AIADMK,37.43,8.27,231105,19,True,-7.0,7.97
85,86,Edapadi,Central,GEN,AIADMK,65.97,37.93,AIADMK,57.67,37.99,258263,16,False,-8.3,0.06
86,87,Sankari,Central,GEN,AIADMK,49.72,8.63,AIADMK,35.83,3.9,243779,21,False,-13.89,-4.73
87,88,Salem (West),Central,GEN,PMK,48.69,9.92,TVK,51.37,31.94,234407,32,True,2.68,22.02
88,89,Salem (North),Central,GEN,DMK,46.17,3.75,TVK,40.68,6.66,210712,15,True,-5.49,2.91
89,90,Salem (South),Central,GEN,AIADMK,48.76,11.31,TVK,43.95,16.05,207902,20,True,-4.81,4.74
90,91,Veerapandi,Central,GEN,AIADMK,49.92,8.89,TVK,33.88,1.73,235875,21,True,-16.04,-7.16
91,92,Rasipuram,Central,SC,DMK,46.08,0.99,TVK,36.55,7.09,204680,19,True,-9.53,6.1
92,93,Sendamangalam,Central,ST,DMK,45.51,5.27,TVK,32.82,1.27,209687,13,True,-12.69,-4.0
93,94,Namakkal,Central,GEN,DMK,51.51,13.48,TVK,37.56,5.19,212283,28,True,-13.95,-8.29
94,95,Paramathi-Velur,Central,GEN,AIADMK,46.83,4.17,AIADMK,32.49,0.16,188845,32,False,-14.34,-4.01
95,96,Tiruchengode,Central,GEN,DMK,44.23,1.55,TVK,41.6,14.74,191122,24,True,-2.63,13.19
96,97,Kumarapalayam,Central,GEN,AIADMK,49.92,15.67,TVK,39.54,3.75,205324,22,True,-10.38,-11.92
97,98,Erode (East),Kongu,GEN,INC,44.27,5.86,TVK,42.93,14.75,162453,21,True,-1.34,8.89
